school_id,name,type,level,state,county,city,rating,tuition_min,tuition_max,student_count,teacher_student_ratio,ap_courses,clubs,application_deadline,website,application_fee,description
S001,Greenwood Elementary,Public,Elementary,Texas,Collin,Plano,9.2,0,0,650,1:18,0,12,Rolling,greenwood.edu,0,"Top-rated public elementary in Plano with strong STEM focus and dedicated teachers."
S002,Sunshine Montessori,Private,Preschool,Texas,Collin,Frisco,9.5,8000,12000,120,1:8,0,6,March 1,sunshinemontessori.edu,50,"Award-winning Montessori preschool with child-led learning and certified instructors."
S003,Frisco High School,Public,High School,Texas,Collin,Frisco,8.8,0,0,2400,1:22,28,45,Rolling,friscohigh.edu,0,"Large public high school offering 28 AP courses and strong athletics and arts programs."
S004,Collin College,Public,Community College,Texas,Collin,McKinney,8.5,3500,5000,25000,1:25,0,60,August 1,collin.edu,0,"Affordable community college offering 2-year degrees and transfer pathways to UT and A&M."
S005,University of Texas Dallas,Public,University,Texas,Dallas,Richardson,9.0,13000,35000,29000,1:20,0,200,December 1,utdallas.edu,75,"Tier-1 research university with top-ranked programs in CS, business, and engineering."
S006,Dallas ISD Magnet,Public,High School,Texas,Dallas,Dallas,8.3,0,0,1800,1:20,22,38,October 15,dallasisd.edu,0,"Magnet school specializing in STEM with competitive admission and project-based learning."
S007,SMU,Private,University,Texas,Dallas,Dallas,9.3,58000,62000,12000,1:11,0,180,January 15,smu.edu,75,"Prestigious private university with strong business, law, and arts programs in Dallas."
S008,Little Scholars Academy,Private,Preschool,Texas,Denton,Denton,9.1,6000,9500,80,1:7,0,4,Rolling,littlescholars.edu,35,"Nurturing preschool environment focused on social-emotional development and early literacy."
S009,Denton High School,Public,High School,Texas,Denton,Denton,8.1,0,0,2100,1:23,18,32,Rolling,dentonhigh.edu,0,"Well-rounded public high school with strong fine arts and dual-credit college programs."
S010,UNT,Public,University,Texas,Denton,Denton,8.7,11000,28000,44000,1:22,0,300,February 1,unt.edu,75,"One of Texas largest universities with renowned music, education, and business programs."
S011,Plano Senior High,Public,High School,Texas,Collin,Plano,9.1,0,0,3200,1:21,32,55,Rolling,planosenior.edu,0,"One of Texas top public high schools with 32 AP courses and excellent college placement."
